C1	C2	C3	C4	C5	C6	C7	C8	C9	Tested_in_clustering	Cluster_control	Cluster_Exposure_P	Cluster_Exposure_Final
2810002D19Rik	14.4166449147351	21.1746910316876	18.5510933793078	11.7395187281183	18.6245545472695	15.5054851972319	19.2225382808765	13.373154731295	11.1336954069649	100	9	9	9
2810004N23Rik	13.2927743350595	30.9228496549049	30.4732655645199	8.61069668617989	13.5869489213813	22.7923347571315	22.7862076774879	15.2714269428821	16.0658229758421	100	5	4	4
2810006K23Rik	10.2448912738099	16.1278821240442	8.26560397924334	15.6340607130495	28.1289711469619	5.34127521624671	21.2100074296209	7.07128180369861	8.17651999673895	100	9	6	6
2810013P06Rik	16.2391944091028	24.6084447087723	24.6599222727889	9.8550099395204	10.713951722461	19.8353386403625	17.2027951753412	15.6635419160696	12.8124277512038	100	5	5	5
2810021J22Rik	24.9797529196656	8.33787140280058	7.67436854280603	17.5341243795194	15.3792075618427	12.7955727238341	9.35520643352379	18.9849253306781	8.47504571593793	100	7	3	7
2810025M15Rik	3.53042197797903	31.5329991232976	21.1369810391681	16.0817607730809	35.7759004539404	9.93383427951143	33.4863302200024	4.27517463467024	13.8983604697355	100	1	1	1
2810030D12Rik	3.88159981361574	34.4809619011401	26.8755643332952	12.5200056849673	30.1944942020497	15.3196489725146	32.5392488847922	6.62769227295307	15.1128481406658	100	1	1	1
2810402E24Rik	11.8528091098984	27.8620258438218	25.6140072443496	9.3192657406434	16.0072881766065	18.3199965996702	21.8378130688757	12.4062432468553	12.9503769858035	100	9	4	4
2810403D21Rik	8.6039844774583	38.8284074706301	35.7586159298889	9.75237948384051	22.2487727366229	24.0955701649254	31.3803196510242	12.8665853954956	18.9794544753732	100	1	1	1
2810408I11Rik	8.65614269344335	31.5708083109353	26.9952470286785	10.8190424700962	23.836519627664	17.8099954571485	27.9104794657885	10.5011941462526	14.7981721821412	100	3	1	1
2810410L24Rik	19.2280889284627	13.0741496262577	12.5483067291714	12.8888925068048	11.1443699948891	12.9343619789131	10.3269218407714	15.1028163528872	8.24654370869009	100	9	9	9
2810414N06Rik	21.7256063302631	10.971905952542	8.62471060424148	16.9195367059956	18.340025615151	11.8089300537819	12.7332047690173	16.5392724964513	8.68127972511812	100	2	3	9
2810459M11Rik	28.0422899322642	7.50820665572548	8.54196200289067	18.2928420735179	12.9210899471794	15.0402367419052	7.51971454320716	21.7543836477057	9.54674289898172	100	2	2	2
2900005J15Rik	6.51380026914974	31.4006697190903	22.088742539164	16.7120573515849	34.5593826629934	11.587098972738	32.9184874268183	6.75396458744979	15.1100026630201	100	1	1	1
2900026A02Rik	15.6619078269412	14.2911594392676	6.31724991581366	19.2952469951574	29.8536725737874	6.18897120640056	20.984603403116	10.7676113240973	8.96584542430053	100	3	3	3
2900052L18Rik	16.0412303580691	20.8390299633145	20.6402412005338	10.2771178108445	11.7219358354268	17.5862989134655	15.6653161107985	15.0633635841437	11.7809366636705	100	9	9	9
2900076A07Rik	14.5368692756053	24.8429504687786	24.4068286822748	8.77408179608329	11.1362387920552	18.7726302336464	17.561103170975	14.0365525194964	11.8079894511838	100	5	4	4
